assembly_accession	access_url
GCA_000188095.4	https://ftp.ebi.ac.uk/pub/ensemblorganisms/Bombus_impatiens/GCA_000188095.4/ensembl/geneset/2021_11/genes.gff3.gz
GCA_000708835.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/708/835/GCA_000708835.1_ASM70883v1/GCA_000708835.1_ASM70883v1_genomic.gff.gz
GCA_004369135.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/369/135/GCA_004369135.1_Denbi1/GCA_004369135.1_Denbi1_genomic.gff.gz
GCA_024703655.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/024/703/655/GCA_024703655.1_ASM2470365v1/GCA_024703655.1_ASM2470365v1_genomic.gff.gz
GCF_015732765.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/015/732/765/GCF_015732765.1_VPISU_Cqui_1.0_pri_paternal/GCF_015732765.1_VPISU_Cqui_1.0_pri_paternal_genomic.gff.gz
GCF_046129695.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/046/129/695/GCF_046129695.1_bLonStr1.mat/GCF_046129695.1_bLonStr1.mat_genomic.gff.gz
GCA_044164705.1	https://ftp.ebi.ac.uk/pub/ensemblorganisms/Homo_sapiens/GCA_044164705.1/ensembl/geneset/2025_07/genes.gff3.gz
GCA_039657345.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/039/657/345/GCA_039657345.1_ASM3965734v1/GCA_039657345.1_ASM3965734v1_genomic.gff.gz
GCA_000976575.4	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/976/575/GCA_000976575.4_Sc_YJM987_v1/GCA_000976575.4_Sc_YJM987_v1_genomic.gff.gz
GCA_001027345.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/027/345/GCA_001027345.1_Triol1/GCA_001027345.1_Triol1_genomic.gff.gz
GCA_965194575.1	https://ftp.ebi.ac.uk/pub/ensemblorganisms/Acleris_hyemana/GCA_965194575.1/ensembl/geneset/2025_04/genes.gff3.gz
GCA_000524645.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/524/645/GCA_000524645.1_Rhizoctonia_solani_AG-3/GCA_000524645.1_Rhizoctonia_solani_AG-3_genomic.gff.gz
GCF_021234165.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/021/234/165/GCF_021234165.1_CSHL_Meso_final/GCF_021234165.1_CSHL_Meso_final_genomic.gff.gz
GCA_964270595.1	https://ftp.ebi.ac.uk/pub/ensemblorganisms/Boloria_titania/GCA_964270595.1/ensembl/geneset/2025_07/genes.gff3.gz
GCA_000188675.2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/188/675/GCA_000188675.2_Tc_SX10_v2.0/GCA_000188675.2_Tc_SX10_v2.0_genomic.gff.gz
GCA_044906105.1	https://ftp.ebi.ac.uk/pub/ensemblorganisms/Sus_scrofa/GCA_044906105.1/ensembl/geneset/2025_09/genes.gff3.gz
GCA_023141315.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/023/141/315/GCA_023141315.1_ASM2314131v1/GCA_023141315.1_ASM2314131v1_genomic.gff.gz
GCA_964019345.2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/964/019/345/GCA_964019345.2_ucCocViri1.2a/GCA_964019345.2_ucCocViri1.2a_genomic.gff.gz
GCA_910589475.2	https://ftp.ebi.ac.uk/pub/ensemblorganisms/Bembecia_ichneumoniformis/GCA_910589475.2/ensembl/geneset/2023_05/genes.gff3.gz
GCA_030039215.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/030/039/215/GCA_030039215.1_DBVPG_5303/GCA_030039215.1_DBVPG_5303_genomic.gff.gz
GCA_028828505.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/028/828/505/GCA_028828505.1_ASM2882850v1/GCA_028828505.1_ASM2882850v1_genomic.gff.gz
GCA_000340195.1	https://ftp.ebi.ac.uk/pub/ensemblorganisms/Dothistroma_septosporum_nze10/GCA_000340195.1/community/geneset/2013_04/genes.gff3.gz
GCA_023375975.1	https://ftp.ebi.ac.uk/pub/ensemblorganisms/Astyanax_mexicanus/GCA_023375975.1/ensembl/geneset/2022_07/genes.gff3.gz
GCA_019207585.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/207/585/GCA_019207585.1_ASM1920758v1/GCA_019207585.1_ASM1920758v1_genomic.gff.gz
GCA_963576585.1	https://ftp.ebi.ac.uk/pub/ensemblorganisms/Lymantria_dispar/GCA_963576585.1/ensembl/geneset/2024_04/genes.gff3.gz
GCF_914725855.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/914/725/855/GCF_914725855.1_fThuAlb1.1/GCF_914725855.1_fThuAlb1.1_genomic.gff.gz
GCF_963082875.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/963/082/875/GCF_963082875.1_kaCorEumy4.1/GCF_963082875.1_kaCorEumy4.1_genomic.gff.gz
GCA_047826735.1	https://ftp.ebi.ac.uk/pub/ensemblorganisms/Callochiton_septemvalvis/GCA_047826735.1/ensembl/geneset/2025_09/genes.gff3.gz
GCA_001624535.1	https://ftp.ebi.ac.uk/pub/ensemblorganisms/Mus_musculus/GCA_001624535.1/community/geneset/2018_01/genes.gff3.gz
GCA_022385655.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/385/655/GCA_022385655.1_Xylint1/GCA_022385655.1_Xylint1_genomic.gff.gz
GCA_964258995.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/964/258/995/GCA_964258995.1_CDAUBV1_v9/GCA_964258995.1_CDAUBV1_v9_genomic.gff.gz
GCF_025370935.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/025/370/935/GCF_025370935.1_NRCan_CFum_1/GCF_025370935.1_NRCan_CFum_1_genomic.gff.gz
GCA_020499905.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/499/905/GCA_020499905.1_ASM2049990v1/GCA_020499905.1_ASM2049990v1_genomic.gff.gz
GCA_027578835.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/027/578/835/GCA_027578835.1_UCR_CoemRSA2050_1.0/GCA_027578835.1_UCR_CoemRSA2050_1.0_genomic.gff.gz
GCA_000721765.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/721/765/GCA_000721765.1_Aureobasidium_pullulans_var._namibiae_CBS_147.97_v1.0/GCA_000721765.1_Aureobasidium_pullulans_var._namibiae_CBS_147.97_v1.0_genomic.gff.gz
GCA_900618345.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/618/345/GCA_900618345.1_O_flexuosa_Cordoba_0011_upd/GCA_900618345.1_O_flexuosa_Cordoba_0011_upd_genomic.gff.gz
GCA_964277375.1	https://ftp.ebi.ac.uk/pub/ensemblorganisms/Erebia_gorge/GCA_964277375.1/ensembl/geneset/2025_08/genes.gff3.gz
GCA_034226045.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/034/226/045/GCA_034226045.1_ASM3422604v1/GCA_034226045.1_ASM3422604v1_genomic.gff.gz
GCA_013398315.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/398/315/GCA_013398315.1_ASM1339831v1/GCA_013398315.1_ASM1339831v1_genomic.gff.gz
GCA_051903605.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/051/903/605/GCA_051903605.1_utor_rsal_1/GCA_051903605.1_utor_rsal_1_genomic.gff.gz
GCA_013399945.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/399/945/GCA_013399945.1_ASM1339994v1/GCA_013399945.1_ASM1339994v1_genomic.gff.gz
GCA_030267685.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/030/267/685/GCA_030267685.1_ASM3026768v1/GCA_030267685.1_ASM3026768v1_genomic.gff.gz
GCA_053539405.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/053/539/405/GCA_053539405.1_BnamMY3957_Illumina/GCA_053539405.1_BnamMY3957_Illumina_genomic.gff.gz
GCF_000227115.2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/227/115/GCF_000227115.2_ASM22711v2/GCF_000227115.2_ASM22711v2_genomic.gff.gz
GCA_900634795.4	https://ftp.ebi.ac.uk/pub/ensemblorganisms/Betta_splendens/GCA_900634795.4/ensembl/geneset/2024_05/genes.gff3.gz
GCA_025999795.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/025/999/795/GCA_025999795.1_ASM2599979v1/GCA_025999795.1_ASM2599979v1_genomic.gff.gz
GCA_025766305.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/025/766/305/GCA_025766305.1_Coespi1/GCA_025766305.1_Coespi1_genomic.gff.gz
GCA_003795275.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/795/275/GCA_003795275.1_ASM379527v1/GCA_003795275.1_ASM379527v1_genomic.gff.gz
GCA_942486025.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/942/486/025/GCA_942486025.1_PEVE_v1/GCA_942486025.1_PEVE_v1_genomic.gff.gz
GCA_949126065.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/949/126/065/GCA_949126065.1_CDG_1a.nuclear_genome.ScRAP/GCA_949126065.1_CDG_1a.nuclear_genome.ScRAP_genomic.gff.gz
GCA_039906515.1	https://ftp.ebi.ac.uk/pub/ensemblorganisms/Pseudorca_crassidens/GCA_039906515.1/ensembl/geneset/2025_05/genes.gff3.gz
GCA_030036015.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/030/036/015/GCA_030036015.1_AFH.nuclear_genome/GCA_030036015.1_AFH.nuclear_genome_genomic.gff.gz
GCF_000192795.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/192/795/GCF_000192795.1_Vavr_culi_floridensis_V1/GCF_000192795.1_Vavr_culi_floridensis_V1_genomic.gff.gz
GCA_964199735.2	https://ftp.ebi.ac.uk/pub/ensemblorganisms/Echinopora_horrida/GCA_964199735.2/ensembl/geneset/2025_04/genes.gff3.gz
GCA_001411555.2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/411/555/GCA_001411555.2_Walnut_2.0/GCA_001411555.2_Walnut_2.0_genomic.gff.gz
GCA_958496205.1	https://ftp.ebi.ac.uk/pub/ensemblorganisms/Idaea_biselata/GCA_958496205.1/ensembl/geneset/2024_04/genes.gff3.gz
GCA_016864775.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/864/775/GCA_016864775.1_ASM1686477v1/GCA_016864775.1_ASM1686477v1_genomic.gff.gz
GCA_951816885.1	https://ftp.ebi.ac.uk/pub/ensemblorganisms/Hordeum_vulgare/GCA_951816885.1/community/geneset/2025_06/genes.gff3.gz
GCA_947593165.1	https://ftp.ebi.ac.uk/pub/ensemblorganisms/Mus_musculus/GCA_947593165.1/ensembl/geneset/2025_07/genes.gff3.gz
GCA_965212235.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/965/212/235/GCA_965212235.1_kcLamFluv2.2a.h1/GCA_965212235.1_kcLamFluv2.2a.h1_genomic.gff.gz
GCA_000695815.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/695/815/GCA_000695815.1_ASM69581v1/GCA_000695815.1_ASM69581v1_genomic.gff.gz
GCA_905332055.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/905/332/055/GCA_905332055.1_MDC_FgU1/GCA_905332055.1_MDC_FgU1_genomic.gff.gz
GCA_023376005.1	https://ftp.ebi.ac.uk/pub/ensemblorganisms/Doryteuthis_pealeii/GCA_023376005.1/ensembl/geneset/2024_11/genes.gff3.gz
GCA_963585935.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/963/585/935/GCA_963585935.1_CBHEV-1_hq-v2_chromosomes/GCA_963585935.1_CBHEV-1_hq-v2_chromosomes_genomic.gff.gz
GCA_000186865.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/186/865/GCA_000186865.1_v_1.0/GCA_000186865.1_v_1.0_genomic.gff.gz
GCF_000338955.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/338/955/GCF_000338955.1_Bauco1/GCF_000338955.1_Bauco1_genomic.gff.gz
GCA_042027545.1	https://ftp.ebi.ac.uk/pub/ensemblorganisms/Homo_sapiens/GCA_042027545.1/ensembl/geneset/2024_10/genes.gff3.gz
GCA_040357525.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/040/357/525/GCA_040357525.1_UU_BOst_1/GCA_040357525.1_UU_BOst_1_genomic.gff.gz
GCA_012295545.2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/012/295/545/GCA_012295545.2_ASM1229554v2/GCA_012295545.2_ASM1229554v2_genomic.gff.gz
